Date,Open,High,Low,Close,Adj Close,Volume
2019-01-01,6.637037,6.637037,6.637037,6.637037,5.984750,0
2019-01-02,6.644082,6.665219,6.601808,6.608854,5.959338,836823
2019-01-03,6.580671,6.601808,6.503169,6.517260,5.876746,2432551
2019-01-04,6.489077,6.573626,6.482032,6.531351,5.889452,1486867
2019-01-07,6.608854,6.658174,6.573626,6.587717,5.940278,2526652
2019-01-08,6.629991,6.637037,6.594763,6.615900,5.965691,1383967
2019-01-09,6.644082,6.735676,6.629991,6.700448,6.041930,4045879
2019-01-10,6.735676,6.799088,6.700448,6.799088,6.130876,3082595
2019-01-11,6.813179,6.862499,6.813179,6.841362,6.168995,1629649
2019-01-14,6.855453,6.855453,6.799088,6.806133,6.137228,1253958
2019-01-15,6.848407,6.869544,6.827270,6.834316,6.162641,1430946
2019-01-16,6.876590,6.890681,6.827270,6.876590,6.200761,1564361
2019-01-17,6.890681,6.890681,6.784996,6.813179,6.143581,1525756
2019-01-18,6.784996,6.827270,6.742722,6.756813,6.092756,1321517
2019-01-21,6.806133,6.848407,6.777950,6.784996,6.118169,1232810
2019-01-22,6.834316,6.834316,6.742722,6.770905,6.105463,924537
2019-01-23,6.799088,6.799088,6.679311,6.693402,6.035576,1393334
2019-01-24,6.813179,6.862499,6.735676,6.862499,6.188055,2886730
2019-01-25,6.876590,6.911818,6.820225,6.848407,6.175347,1608643
2019-01-28,6.869544,6.904773,6.855453,6.869544,6.194407,940717
2019-01-29,6.834316,6.841362,6.742722,6.792042,6.124522,2068499
2019-01-30,6.834316,6.869544,6.777950,6.806133,6.137228,1650797
2019-01-31,6.869544,6.890681,6.784996,6.799088,6.130876,2457389
2019-02-01,6.834316,6.834316,6.742722,6.784996,6.118169,1471680
2019-02-04,6.834316,6.834316,6.770905,6.806133,6.137228,648623
2019-02-05,6.806133,6.806133,6.806133,6.806133,6.137228,0
2019-02-07,6.841362,6.841362,6.756813,6.806133,6.137228,1271983
2019-02-08,6.749768,6.897727,6.749768,6.876590,6.200761,1959621
2019-02-11,6.799088,6.862499,6.784996,6.841362,6.168995,1120827
2019-02-12,6.792042,6.855453,6.792042,6.799088,6.130876,1898892
2019-02-13,6.862499,6.904773,6.848407,6.855453,6.181701,2113917
2019-02-14,6.883636,6.968184,6.883636,6.954093,6.270647,3631157
2019-02-15,6.954093,7.003412,6.841362,6.876590,6.200761,2103414
2019-02-18,6.947047,7.038641,6.947047,7.010458,6.321472,2780850
2019-02-19,7.024549,7.038641,6.925910,6.925910,6.245234,1143252
2019-02-20,7.003412,7.087961,6.996367,7.059778,6.365945,3373837
2019-02-21,7.087961,7.130235,7.024549,7.102052,6.404065,2066086
2019-02-22,7.137280,7.186600,7.130235,7.165463,6.461244,1921459
2019-02-25,7.186600,7.200692,7.123189,7.179555,6.473950,1270564
2019-02-26,7.193646,7.207737,7.087961,7.116143,6.416771,1245868
2019-02-27,7.179555,7.186600,7.059778,7.066824,6.372299,2635371
2019-02-28,7.130235,7.130235,7.010458,7.052732,6.359592,2129387
2019-03-01,7.003412,7.017504,6.911818,6.947047,6.264293,1804082
2019-03-04,6.947047,7.024549,6.932956,7.024549,6.334178,1298524
2019-03-05,7.031595,7.038641,6.918864,6.947047,6.264293,1537678
2019-03-06,6.954093,6.982275,6.925910,6.925910,6.245234,1035243
2019-03-07,6.925910,7.024549,6.918864,7.024549,6.334178,1443720
2019-03-08,6.947047,6.968184,6.848407,6.862499,6.188055,2841454
2019-03-11,6.827270,6.869544,6.827270,6.841362,6.168995,835120
2019-03-12,6.932956,6.947047,6.799088,6.820225,6.149935,1765193
2019-03-13,6.855453,6.862499,6.799088,6.848407,6.175347,1281493
2019-03-14,6.876590,6.932956,6.834316,6.932956,6.251587,2102846
2019-03-15,6.904773,6.954093,6.883636,6.904773,6.226174,2124420
2019-03-18,6.947047,6.947047,6.918864,6.925910,6.245234,548988
2019-03-19,6.961138,6.961138,6.890681,6.940001,6.257940,1564929
2019-03-20,6.940001,6.940001,6.869544,6.869544,6.194407,1536117
2019-03-21,6.897727,6.911818,6.862499,6.904773,6.226174,1063061
2019-03-22,6.932956,6.932956,6.848407,6.869544,6.194407,1060932
2019-03-25,6.820225,6.820225,6.735676,6.756813,6.092756,1954670
2019-03-26,6.777950,6.827270,6.707494,6.735676,6.073695,2021520
2019-03-27,6.700448,6.756813,6.629991,6.735676,6.073695,1914220
2019-03-28,6.700448,6.770905,6.700448,6.756813,6.092756,834269
2019-03-29,6.820225,6.862499,6.763859,6.806133,6.137228,1791166
2019-04-01,6.869544,6.869544,6.827270,6.848407,6.175347,1406520
2019-04-02,6.904773,6.925910,6.862499,6.876590,6.200761,1582812
2019-04-03,6.940001,6.940001,6.904773,6.940001,6.257940,1552013
2019-04-04,6.968184,6.989321,6.932956,6.982275,6.296059,1610062
2019-04-05,7.010458,7.031595,6.954093,6.968184,6.283353,1052416
2019-04-08,6.968184,6.968184,6.890681,6.968184,6.283353,885080
2019-04-09,6.954093,6.989321,6.904773,6.961138,6.276999,1076828
2019-04-10,6.925910,6.961138,6.918864,6.925910,6.245234,1000612
2019-04-11,6.932956,6.982275,6.911818,6.968184,6.283353,1202863
2019-04-12,6.975230,6.975230,6.918864,6.954093,6.270647,678996
2019-04-15,6.975230,6.996367,6.947047,6.961138,6.276999,728814
2019-04-16,6.968184,6.975230,6.911818,6.940001,6.257940,1144388
2019-04-17,6.954093,6.975230,6.918864,6.961138,6.276999,892035
2019-04-18,6.918864,6.961138,6.855453,6.940001,6.257940,1817565
2019-04-22,6.961138,6.961138,6.904773,6.904773,6.226174,515918
2019-04-23,6.947047,6.947047,6.834316,6.869544,6.194407,1212656
2019-04-24,6.890681,6.890681,6.784996,6.799088,6.130876,1742484
2019-04-25,6.784996,6.820225,6.756813,6.756813,6.092756,1502479
2019-04-26,6.777950,6.799088,6.749768,6.792042,6.124522,1382405
2019-04-29,6.806133,6.848407,6.763859,6.813179,6.143581,1341387
2019-04-30,6.827270,6.855453,6.770905,6.820225,6.149935,1796843
2019-05-02,6.820225,6.841362,6.784996,6.827270,6.156288,1211521
2019-05-03,6.792042,6.869544,6.792042,6.862499,6.188055,837675
2019-05-06,6.834316,6.862499,6.728631,6.756813,6.092756,1675209
2019-05-07,6.777950,6.813179,6.742722,6.792042,6.124522,1563083
2019-05-08,6.721585,6.756813,6.714539,6.735676,6.073695,1621559
2019-05-09,6.714539,6.792042,6.707494,6.742722,6.080049,1522349
2019-05-10,6.742722,6.763859,6.700448,6.721585,6.060989,2126123
2019-05-13,6.721585,6.721585,6.665219,6.700448,6.041930,871597
2019-05-14,6.665219,6.672265,6.622945,6.672265,6.016517,2143438
2019-05-15,6.622945,6.658174,6.594763,6.651128,5.997457,3212177
2019-05-16,6.622945,6.629991,6.573626,6.622945,5.972044,2042238
2019-05-17,6.566580,6.580671,6.524306,6.552488,5.908511,2179631
2019-05-21,6.538397,6.552488,6.489077,6.489077,5.851332,2925193
2019-05-22,6.489077,6.517260,6.474986,6.489077,5.851332,1918478
2019-05-23,6.474986,6.474986,6.411575,6.432712,5.800507,1999946
