Date,Open,High,Low,Close,Adj Close,Volume
2024-05-02,35.860001,36.000000,35.299999,35.549999,35.012417,9234100
2024-05-03,35.849998,35.900002,35.549999,35.639999,35.101059,5453020
2024-05-06,35.650002,35.810001,35.349998,35.810001,35.268490,3613300
2024-05-07,35.950001,35.980000,35.740002,35.930000,35.386673,3531500
2024-05-08,35.980000,35.990002,35.639999,35.709999,35.169998,4884980
2024-05-09,35.240002,35.290001,34.990002,35.279999,35.279999,3945300
2024-05-10,35.230000,35.529999,35.209999,35.400002,35.400002,3148100
2024-05-13,35.250000,35.500000,35.189999,35.369999,35.369999,2718200
2024-05-14,35.439999,35.459999,35.250000,35.459999,35.459999,3008500
2024-05-15,35.320000,35.480000,35.220001,35.310001,35.310001,3292400
2024-05-16,35.500000,35.689999,35.430000,35.549999,35.549999,4289765
2024-05-17,35.639999,35.700001,35.450001,35.700001,35.700001,3407000
2024-05-20,35.700001,35.840000,35.630001,35.799999,35.799999,2266800
2024-05-21,35.799999,35.810001,35.509998,35.680000,35.680000,2365200
2024-05-23,35.700001,35.860001,35.500000,35.849998,35.849998,4026200
2024-05-24,35.590000,35.880001,35.590000,35.869999,35.869999,3086300
2024-05-27,35.799999,35.950001,35.709999,35.849998,35.849998,1726900
2024-05-28,35.750000,35.900002,35.709999,35.779999,35.779999,2184600
2024-05-29,35.840000,35.840000,35.689999,35.689999,35.689999,3779700
2024-05-30,35.549999,35.700001,35.400002,35.619999,35.619999,3022800
2024-05-31,35.700001,35.990002,35.560001,35.990002,35.990002,10201800
2024-06-03,36.080002,36.150002,35.889999,36.070000,36.070000,3054460
2024-06-04,36.080002,36.099998,35.709999,35.830002,35.830002,3163900
2024-06-05,35.680000,35.730000,35.349998,35.360001,35.360001,5526800
2024-06-06,35.849998,35.889999,35.459999,35.500000,35.500000,4399400
2024-06-07,35.720001,35.740002,35.500000,35.520000,35.520000,3270600
2024-06-10,35.810001,35.840000,35.540001,35.630001,35.630001,2766300
2024-06-11,35.820000,35.840000,35.450001,35.549999,35.549999,2677100
2024-06-12,35.599998,35.799999,35.580002,35.650002,35.650002,3270508
2024-06-13,35.849998,35.880001,35.730000,35.840000,35.840000,3134700
2024-06-14,35.599998,35.790001,35.480000,35.480000,35.480000,2521000
2024-06-18,35.700001,35.700001,35.400002,35.500000,35.500000,2754500
2024-06-19,35.500000,35.669998,35.470001,35.470001,35.470001,2606200
2024-06-20,35.459999,35.610001,35.360001,35.470001,35.470001,2040000
2024-06-21,35.650002,35.680000,35.450001,35.450001,35.450001,5392271
2024-06-24,35.349998,35.540001,35.349998,35.540001,35.540001,2936900
2024-06-25,35.599998,35.830002,35.580002,35.650002,35.650002,4292900
2024-06-26,35.770000,35.770000,35.590000,35.689999,35.689999,2625800
2024-06-27,35.560001,36.049999,35.520000,36.049999,36.049999,7221040
2024-06-28,36.049999,36.169998,35.779999,35.790001,35.790001,5020400
