Year,Month,V_hwi,U,tightness
1951,1,2313.197608,2305,1.003556446
1951,2,2295.689006,2117,1.084406711
1951,3,2554.677439,2125,1.202201148
1951,4,2502.487739,1919,1.304058227
1951,5,2534.983959,1856,1.365831874
1951,6,2392.152707,1995,1.199074039
1951,7,2388.251431,1950,1.224744323
1951,8,2404.265856,1933,1.243800236
1951,9,2478.510656,2067,1.199085949
1951,10,2472.520638,2194,1.126946508
1951,11,2430.5735,2178,1.115965794
1951,12,2401.748939,1960,1.225382112
1952,1,2550.836801,1972,1.29352779
1952,2,2584.925183,1957,1.320861105
1952,3,2476.143675,1813,1.36577147
1952,4,2453.282325,1811,1.354656171
1952,5,2409.351825,1863,1.293264533
1952,6,2261.84041,1884,1.200552235
1952,7,2153.606877,1991,1.081670958
1952,8,2310.807517,2087,1.107238868
1952,9,2598.045727,1936,1.341965768
1952,10,2600.743454,1839,1.414216125
1952,11,2726.54475,1743,1.564282702
1952,12,2535.404554,1667,1.520938545
1953,1,2650.622745,1839,1.441339176
1953,2,2759.697654,1636,1.686856756
1953,3,2824.493385,1647,1.714932231
1953,4,2615.901714,1723,1.518225022
1953,5,2581.465948,1596,1.617459867
1953,6,2413.393424,1607,1.501800513
1953,7,2226.639068,1660,1.341348836
1953,8,2171.676027,1665,1.304309926
1953,9,2122.21197,1821,1.165410197
1953,10,1917.74047,1974,0.971499732
1953,11,1734.036587,2211,0.784277063
1953,12,1462.779153,2818,0.519084157
1954,1,1493.239137,3077,0.485290587
1954,2,1431.554149,3331,0.429767082
1954,3,1379.88229,3607,0.382556776
1954,4,1335.652473,3749,0.356268998
1954,5,1306.697575,3767,0.346880163
1954,6,1299.884484,3551,0.366061527
1954,7,1275.636926,3659,0.348629933
1954,8,1260.242393,3854,0.326995951
1954,9,1234.560559,3927,0.31437753
1954,10,1264.772437,3666,0.345000665
1954,11,1367.359268,3402,0.401928062
1954,12,1334.363141,3196,0.417510369
1955,1,1524.199028,3157,0.482799819
1955,2,1519.095311,2969,0.511652176
1955,3,1688.875729,2918,0.578778523
1955,4,1742.715273,3049,0.571569456
1955,5,1856.801461,2747,0.675937918
1955,6,1835.871892,2701,0.679700812
1955,7,1999.27405,2632,0.759602603
1955,8,2085.401272,2784,0.749066549
1955,9,2062.629589,2678,0.770212692
1955,10,2178.214575,2830,0.769687129
1955,11,2221.988854,2780,0.799276566
1955,12,2100.591331,2761,0.76080816
1956,1,2345.356428,2666,0.879728593
1956,2,2334.939527,2606,0.895986004
1956,3,2165.461013,2764,0.783451886
1956,4,2180.624079,2650,0.822877011
1956,5,2220.366742,2861,0.776080651
1956,6,2195.037838,2882,0.761637002
1956,7,2097.955907,2952,0.710689671
