country,year,life_ladder,GDP,social_support,healthy,freedom,generosity,perceptions
Afghanistan,2019,2.375091791,2065.0363311136466,0.419972867,53.90000153,0.393656164,-0.103466518,0.923849106
Albania,2019,4.995317936,13656.602427594784,0.686364889,69.09999847,0.777351439,-0.099057563,0.914284289
Algeria,2019,4.744627476,11521.989672924412,0.803258657,66.40000153,0.385083437,0.002798254,0.740609348
Argentina,2019,6.085560799,22066.09794412469,0.89637053,67.09999847,0.817052603,-0.212645262,0.830459774
Armenia,2019,5.4880867,13653.763501411513,0.781603873,67.09999847,0.844324112,-0.173741236,0.583472729
Australia,2019,7.233994961,49309.11986290687,0.942774355,70.90000153,0.917536914,0.118749149,0.430208653
Austria,2019,7.195361137,55833.537595537855,0.964488804,70.90000153,0.90342766,0.05765314,0.457088888
Azerbaijan,2019,5.173389435,14442.044365731455,0.88675642,63.59999847,0.854248524,-0.215776786,0.457260668
Bangladesh,2019,5.114216805,4753.727570707777,0.673172176,64.30000305,0.90193665,-0.051848229,0.656004608
Belarus,2019,5.821453094,19279.202206934257,0.916740477,66,0.656933606,-0.188110471,0.545904756
Belgium,2019,6.772138119,51944.15405635019,0.884230494,70.59999847,0.776203632,-0.174472645,0.672497511
Benin,2019,4.976360798,3287.310558385692,0.442153931,55.5,0.770359993,-0.016165027,0.698346972
Bolivia,2019,5.67427063,8724.477195597688,0.7843014,63.29999924,0.88131094,-0.086626269,0.857220411
Bosnia and Herzegovina,2019,6.01552248,14896.78987364216,0.873141944,67.19999695,0.72156322,0.077898346,0.96290803
Botswana,2019,3.471084833,16347.915224655026,0.773667216,53.90000153,0.832542658,-0.234602764,0.792079508
Brazil,2019,6.451148987,14763.871979698084,0.899175048,65.40000153,0.830206037,-0.063963488,0.761840582
Bulgaria,2019,5.108438015,23265.871191016005,0.948204398,66.30000305,0.821929872,-0.110997088,0.942806482
Burkina Faso,2019,4.740892887,2175.505118607842,0.683102369,54.90000153,0.677546859,-0.003277031,0.729396582
Cambodia,2019,4.998284817,4388.800596072202,0.759175479,61.5,0.956799209,0.012915172,0.828444481
Cameroon,2019,4.936737537,3742.858360431695,0.710964739,54.5,0.711500287,-0.009756331,0.817170262
Canada,2019,7.1090765,49006.740556035526,0.925303996,71.30000305,0.911525607,0.109055623,0.436434418
Chad,2019,4.250799179,1579.6261814353968,0.640452087,52,0.537245691,0.055652164,0.832283497
Chile,2019,5.942250252,24967.588182437274,0.869121909,70,0.659176767,-0.106856108,0.860491574
Colombia,2019,6.350297928,14585.300828910309,0.872578919,69,0.821500719,-0.172856137,0.853646159
Comoros,2019,4.608616352,3058.817061513775,0.632012963,58.90000153,0.538261533,0.077808991,0.762232482
Congo (Brazzaville),2019,5.2126226429999996,3825.702593622984,0.624768078,56.20000076,0.686451972,-0.056822121,0.74058944
