age,height,educ,feduc,meduc,tenure,wexp,race,male,earn,totalwork
59,67,12,3,3,5,30,White,0,36.32,1652
43,63,10,4,3,7,13,White,1,6.46,1548
28,74,12,2,3,6,9,White,1,13.1,2460
66,66,16,4,4,3,46,White,1,45.1,2040
63,61,10,2,2,24,38,White,1,12.89,3328
42,70,12,4,5,11,19,White,1,19.23,2600
64,75,17,2,4,28,4,White,1,53.33,3750
38,73,17,8,7,1,6,White,1,32.91,2340
37,75,17,8,7,2,14,White,1,55.12,3084
44,64,11,4,3,5,15,White,0,12.02,2080
38,65,12,3,3,2,2,White,0,3.54,2120
27,73,10,3,3,4,2,White,1,10.89,2570
26,75,12,4,2,6,1,White,1,20.8,2000
24,67,12,4,4,4,2,White,1,19.12,3556
55,65,14,7,6,1,9,Black,0,19.23,1560
31,65,15,4,6,2,4,Black,0,9.62,2080
39,74,16,4,4,2,19,White,1,72.29,2075
34,68,14,3,6,6,6,White,1,27.53,2107
36,68,12,4,2,13,17,White,1,14.23,2064
39,70,14,3,3,6,3,White,1,17.31,2080
66,71,12,2,4,18,2,White,1,12.43,1960
40,69,14,6,7,11,12,White,1,38.5,4545
37,65,13,4,4,3,12,White,0,13.15,2130
62,66,13,4,4,25,28,Black,0,18.1,1602
54,66,12,4,4,15,3,Black,1,40.73,1375
53,62,14,4,4,33,9,Black,0,29.87,1908
59,68,12,4,4,38,5,White,1,47.3,1480
36,69,17,4,6,1,2,White,1,40.85,2000
33,68,10,4,4,7,7,White,1,24.51,2448
33,68,17,4,6,8,1,White,1,26.75,2056
49,77,12,4,2,9,17,White,1,48.08,2080
56,75,13,5,4,8,32,Other,1,27.56,2286
34,61,13,3,3,7,7,White,0,10.07,1400
39,65,12,2,4,20,13,White,0,19.12,2040
39,68,11,4,4,1,14,White,1,22.06,2448
23,64,12,4,6,2,1,White,0,13,2860
30,74,12,4,7,4,6,White,1,18.9,2116
51,70,12,4,16,18,6,White,1,35.28,1984
49,71,17,6,4,26,4,White,1,41.49,2410
34,73,12,4,6,11,5,White,1,14.29,4200
28,75,16,8,7,7,7,White,1,46.18,1992
59,68,12,4,4,41,4,White,1,9.59,1876
55,67,13,4,4,3,3,White,1,30.46,1254
30,68,16,4,7,3,6,White,0,14.58,2277
46,70,12,16,7,19,15,White,1,95.91,1835
51,68,12,4,4,21,5,White,1,25.64,2340
41,69,10,4,4,2,9,Other,1,31.62,2530
57,74,12,3,4,14,5,White,1,53.41,1835
38,69,10,4,4,11,5,White,1,24.59,2115
30,69,11,3,3,2,11,White,1,16.83,2080
28,73,12,4,6,5,4,White,1,12.37,1860
27,64,10,3,4,7,1,White,1,13.86,2107
60,71,14,4,4,6,8,White,1,17.65,2550
64,66,13,3,4,11,20,White,0,10.82,1849
55,67,13,3,7,5,21,White,1,21.39,2010
46,68,13,3,4,1,20,White,0,4.3,2210
43,75,17,4,4,18,1,White,1,34.69,1960
68,68,17,6,7,27,12,White,1,34.02,2704
37,66,17,8,8,2,3,White,1,30.04,2563
26,70,15,8,8,4,2,White,1,35.05,2040
41,74,17,4,4,18,3,White,1,48.87,1944
30,71,16,7,7,5,2,White,1,15.15,3300
52,73,14,11,6,19,3,White,1,38.98,2694
26,71,13,4,4,2,3,Other,1,6.41,1560
55,69,14,6,3,26,2,White,0,24.44,2250
42,71,13,4,4,7,2,White,1,56.1,2050
32,71,16,5,4,4,2,White,1,52.31,2600
44,76,10,4,4,3,27,White,1,200,1000
64,64,12,4,6,22,20,White,0,10.63,2070
55,69,16,4,6,23,3,White,0,30.06,1769
61,76,12,4,4,7,30,White,1,25,1680
55,59,14,4,4,32,19,White,0,24.47,1748
60,70,12,4,4,33,8,White,1,53.57,1456
62,67,16,4,4,3,5,White,1,63.45,2112
43,75,12,4,4,29,16,White,1,21.81,3072
44,74,14,7,6,6,20,Other,1,40.87,2241
25,66,13,6,4,4,5,Black,1,9,2444
45,67,12,4,4,8,10,Black,1,19.23,2080
36,63,13,4,4,5,16,Black,0,15.4,2467
29,71,12,6,7,4,8,Other,1,12.82,3900
70,68,14,4,3,15,48,Other,1,14.81,4320
46,69,14,8,8,22,2,White,1,36.71,2016
62,70,12,4,4,7,11,White,1,20.2,1485
21,71,14,4,4,1,3,White,1,12.1,2976
58,70,16,4,4,12,35,White,1,44.7,2108
40,77,16,6,7,17,20,White,1,27.91,2470
64,68,17,7,7,9,6,White,1,60.98,2214
61,69,16,7,6,35,6,White,1,36.6,2250
26,67,17,8,8,3,1,White,1,18.11,1822
60,71,17,8,6,4,32,White,1,146.49,3000
25,68,17,7,8,4,2,White,1,25.49,2040
51,61,17,3,6,12,6,White,0,49.02,3060
46,69,16,4,4,21,7,White,1,41.78,2130
31,71,11,4,4,3,5,White,1,9.89,1820
43,64,16,2,6,1,15,White,0,17.09,2340
66,69,16,4,4,1,13,White,1,12.48,1122
58,68,15,7,7,2,1,White,1,88.25,2187
29,62,14,6,7,1,1,White,0,22.47,2092
56,67,9,2,2,7,35,Black,1,7.51,1664
40,64,13,7,7,10,2,Black,0,14.42,2912
30,71,12,0,0,2,9,Black,1,10.01,4096
30,65,16,7,7,12,2,White,0,24,2000
45,75,16,7,7,5,1,White,1,69.06,2259
42,77,14,7,6,8,19,Other,1,98.43,2540
50,68,12,4,4,4,8,White,1,36.07,2218
46,69,12,4,4,5,17,White,1,35.71,2072
54,68,13,4,4,1,23,White,0,12.54,1276
46,68,16,4,4,1,7,White,1,63.49,2205
42,74,17,7,7,12,7,White,1,39.22,2040
42,74,17,6,4,11,8,White,1,78.51,2662
47,68,12,4,4,28,4,White,1,21.06,3182
32,71,16,7,7,6,1,White,1,55.56,2160
29,75,14,5,5,2,5,White,1,22.97,3012
66,70,12,2,2,18,14,White,1,24.51,2040
62,67,12,2,2,5,10,White,1,24,2000
37,77,14,3,3,14,5,White,1,14.79,2028
39,66,16,8,6,5,11,White,1,56.87,1864
27,71,12,4,4,2,9,White,1,11.28,2838
61,69,17,4,4,6,5,White,1,19,1820
40,66,16,8,7,3,6,White,0,19.86,2880
35,70,17,8,7,6,2,White,1,63.83,1880
32,70,17,8,7,8,2,White,1,21.57,2550
30,65,15,8,8,4,2,White,0,27.66,2205
33,73,12,4,4,3,4,White,1,14.88,2419
31,62,12,5,6,13,2,White,0,26.26,1980
30,68,14,4,4,8,9,White,0,7.82,2174
30,67,16,6,6,2,2,White,1,65.6,2058
42,65,12,4,3,21,3,White,1,19,2550
30,69,11,4,4,12,10,White,1,17.69,2600
40,70,16,8,7,4,3,White,1,18.14,2205
37,70,12,7,7,1,15,White,1,21.19,1416
60,66,17,7,8,8,2,White,1,19.27,3036
39,69,10,4,3,5,3,White,1,13.07,4590
45,70,12,6,4,4,3,White,1,8.53,2964
44,73,14,7,4,14,14,White,1,66.67,2070
26,67,17,8,7,5,1,White,0,19.66,2340
59,70,17,7,8,32,4,White,1,83.67,2713
65,69,12,2,2,11,18,Other,1,28.57,2205
36,73,17,6,4,11,12,White,1,51.02,1960
48,69,9,3,3,6,4,White,1,29.64,2530
45,63,17,7,7,5,1,White,0,20.89,2250
43,70,16,7,7,2,3,White,1,32.21,3260
58,61,16,7,7,3,28,White,0,33.56,1400
33,69,16,7,4,3,1,White,1,138.14,2115
40,70,16,7,7,13,16,White,1,117.65,2550
64,70,12,4,4,8,46,White,1,38.81,1340
34,70,17,7,7,4,8,White,1,42.8,2570
33,71,12,8,2,4,5,White,1,12.7,2048
25,67,13,4,4,1,4,Other,0,26.17,2560
53,75,14,3,4,8,16,White,1,20.42,2253
21,66,13,4,3,1,2,Other,1,15.69,2550
53,73,13,6,4,5,11,White,1,52.29,2295
28,68,16,2,2,1,2,White,0,47.62,2016
37,74,14,6,4,9,5,White,1,36.51,1698
53,75,12,4,4,27,8,White,1,26.94,2023
42,71,16,6,7,11,2,White,1,20.75,2410
38,73,17,4,4,19,3,White,1,21.15,2600
57,73,12,2,4,13,5,White,1,27.02,2031
28,73,14,4,4,5,2,White,1,33.99,2530
59,73,16,7,6,5,1,White,1,72.87,2470
26,71,16,7,7,4,3,White,1,56.58,1944
48,71,13,7,6,4,14,White,1,10.25,2182
45,74,17,8,7,22,6,White,1,57.94,2330
40,74,17,8,8,2,2,White,1,89.49,4470
28,64,13,4,4,3,1,White,0,16,1000
40,64,14,4,4,14,10,Other,0,43.81,1712
34,69,12,4,4,11,14,Other,1,31.58,2470
32,64,12,4,7,2,6,Other,0,16.82,2140
63,70,12,10,4,3,5,Other,1,19.61,3825
60,69,11,4,4,42,40,White,1,60.74,2552
22,69,16,4,4,2,4,Other,1,14.15,2827
49,74,16,7,5,18,11,White,1,39.15,2580
46,69,16,6,3,7,3,White,1,26.06,2586
40,70,16,8,7,19,1,White,1,69.13,2550
52,73,12,4,6,5,22,White,1,25.39,1339
41,73,16,4,6,2,3,White,1,22.55,2040
39,70,16,6,3,6,1,White,1,13.43,2085
37,75,16,7,7,1,5,White,1,17.95,2006
42,70,14,4,7,17,23,White,1,26.44,2080
29,70,16,8,4,1,10,White,1,23.53,2550
46,71,16,4,3,5,2,White,1,9.51,3036
47,71,17,7,7,9,4,White,1,22.12,2080
40,69,17,7,7,6,3,White,1,27.56,1560
43,65,17,5,5,19,1,White,1,32.99,2880
48,70,12,23,12,27,16,White,1,28.46,2530
54,70,14,4,3,27,6,White,1,35.63,2021
35,63,12,5,6,15,3,White,0,26.14,2410
39,75,16,7,4,13,12,White,1,38.13,2098
38,68,11,4,5,14,6,Other,1,27.45,2040
60,71,16,7,5,31,29,White,1,46.96,2470
60,73,16,21,16,35,7,White,1,133.33,3000
55,66,14,4,4,5,15,White,0,27.64,2460
66,61,17,2,5,22,18,White,0,48.94,1880
68,70,17,8,8,25,20,White,1,17.51,1984
72,71,17,4,5,54,34,White,1,44.33,2820
44,70,16,7,7,21,7,White,1,628.93,2385
37,71,16,7,7,14,6,White,1,178.11,2330
47,73,13,7,4,5,3,White,1,109.69,1960
23,70,13,2,7,1,3,White,1,25.88,2550
37,64,16,4,8,5,6,White,1,24,2250
33,73,15,4,7,16,10,White,1,20.16,2381
32,70,16,4,7,3,8,White,1,36.76,2040
54,71,17,4,4,2,1,White,1,7.81,1806
23,70,14,6,6,2,1,White,1,16.88,2465
58,64,10,4,4,12,20,White,0,17.61,1760
39,74,11,4,4,4,5,White,1,10,2040
38,73,15,6,4,1,3,White,1,15.04,1928
35,71,14,3,3,12,11,White,1,23.23,2066
66,68,11,3,4,1,14,White,1,9.07,1058
66,70,13,4,6,11,14,White,1,24.7,1984
32,68,12,4,4,8,5,White,1,21.91,2510
25,69,12,4,6,4,2,White,1,10.3,2940
34,70,15,8,6,5,7,White,1,39.95,2628
30,70,16,8,7,3,6,White,1,22.55,2040
31,70,16,4,7,4,3,White,1,42.37,2124
46,64,14,3,2,2,10,White,0,21.62,2313
27,71,14,4,7,6,5,Other,1,20.15,1588
48,70,17,24,12,16,3,Other,1,61.64,2190
27,66,17,8,7,3,5,White,0,11.07,2259
54,71,16,7,4,6,31,White,1,500,2400
24,71,16,8,8,4,1,White,1,32.5,2000
40,74,13,0,4,2,15,Black,1,17.16,2040
39,69,16,7,7,20,2,White,0,282.29,2214
40,73,13,4,4,18,10,White,1,58.33,1920
38,70,16,8,7,1,12,White,1,37.08,2159
66,73,17,4,6,3,10,White,1,8.42,2850
62,71,14,6,5,8,9,White,1,22.29,1458
43,70,16,7,6,22,1,White,1,39.48,2482
59,69,12,4,3,29,32,Black,1,23.61,2550
46,67,10,5,3,2,1,Black,0,7.3,2080
27,67,15,4,3,6,1,Black,0,14.71,2040
35,66,14,5,5,11,5,White,0,19.03,1944
34,68,16,8,7,8,1,White,1,271.83,1729
32,69,17,8,7,10,2,White,1,42.64,2580
65,74,11,3,4,19,12,White,1,40.31,1960
26,64,14,7,3,3,3,White,0,15.93,2448
56,66,14,6,4,5,7,White,0,16.94,1417
50,66,12,4,4,28,8,White,1,15,3120
34,68,13,7,4,14,6,White,0,31.25,1920
31,69,12,8,6,12,13,White,1,31.68,2052
37,71,16,7,4,14,7,White,1,97.1,2760
40,73,17,7,8,18,4,White,1,47.83,2300
46,77,16,8,8,8,1,White,1,78.38,1850
53,68,16,6,6,6,12,White,1,16,2000
36,71,12,3,4,7,15,White,1,23.44,3072
42,77,12,3,3,1,4,Black,1,22.69,3570
72,67,15,4,7,22,16,White,0,14.36,2000
35,67,16,4,7,2,6,Black,1,12.3,2440
46,62,13,6,6,4,12,White,0,19.11,1936
38,69,11,4,4,2,7,White,1,11.12,1799
44,69,15,6,6,1,12,White,1,18.5,2000
27,65,13,5,6,13,2,White,1,32.96,2600
40,66,10,4,4,26,5,White,1,19.53,2560
49,67,14,4,4,8,1,White,1,46.57,2040
55,67,11,4,4,12,35,White,1,25.5,2000
61,73,17,4,4,7,4,White,1,80.65,1984
46,69,12,4,4,23,25,White,1,37.23,1880
41,74,16,7,4,14,2,White,1,60.95,2133
66,75,11,3,3,12,44,White,1,16.16,2304
37,70,17,6,4,13,4,White,0,40.59,2056
47,75,13,4,4,1,1,White,1,20.32,2295
46,68,17,2,3,8,8,White,1,50.2,2450
43,69,12,7,4,4,7,White,1,32.92,2187
38,69,12,4,6,2,19,White,1,17.26,2028
31,71,16,4,6,4,1,Black,1,53.21,1992
22,70,13,7,6,1,4,White,1,15.16,2040
43,66,10,5,5,18,5,Other,1,38.46,2080
63,68,17,4,4,2,11,White,1,24.81,2018
24,67,13,6,4,1,6,White,1,10.76,2040
55,75,16,4,4,14,3,White,1,53.59,1978
56,66,12,2,3,14,3,White,1,13.34,1984
35,68,10,4,4,12,6,White,1,12.14,2142
42,68,17,6,6,11,5,White,1,40.24,1988
68,70,14,3,3,14,33,White,1,25,1800
50,75,14,6,4,28,3,White,1,44,2006
51,69,12,4,3,4,13,White,1,50.58,2052
48,70,14,4,6,18,5,White,1,53.33,2550
67,68,17,7,6,4,11,White,1,16.26,2460
31,70,14,7,5,2,6,White,1,25.9,2510
